feedback_text,created_at,category,source,rating
"hostle mess food is so cold by 7pm, not even eatable seriously :(",2026-07-08 08:23:43,Sports,email,5
digital library terminal mice are sticky and need replacement,2026-07-08 08:25:46,Library,review,2
mess cutlery is often greasy and not cleaned thoroughly,2026-07-08 08:27:21,Cafeteria,email,1
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-08 08:29:47,Transportation,feedback form,4
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-08 08:34:30,Security,survey,5
professors are approachable during designated office consultation hours,2026-07-08 08:49:26,Academics,email,5
mess cutlery is often greasy and not cleaned thoroughly,2026-07-08 09:14:55,Cafeteria,review,1
coffee machine in main canteen was broken for two days,2026-07-08 09:15:54,Cafeteria,support ticket,2
schedule for end semester practical exams overlaps with elective test,2026-07-08 09:19:16,Academics,survey,2
restrooms in ground floor management block need more frequent checks,2026-07-08 09:31:31,Cleanliness,review,2
Continuous wi-fi dropouts while studying on 2nd floor of library,2026-07-08 09:34:30,Library,review,1
late fee penalty policy is too rigid when bank server transactions fail,2026-07-08 09:40:38,Fees,review,2
juice bar offers great healthy options at subsidized student rates,2026-07-08 10:16:45,Cafeteria,feedback form,5
cricket nets require replacement as the netting has torn at several places,2026-07-08 10:19:57,Sports,review,2
badminton court wooden flooring has been maintained in top shape,2026-07-08 10:20:42,Sports,feedback form,5
"Library wifi keeps dropping connection every 10 minutes, cannot study",2026-07-08 10:31:52,Library,feedback form,1
weekend transit schedule should include an extra night service from metro station,2026-07-08 10:52:48,Transportation,email,3
"Hostel Block D has zero Wi-Fi signal in corner rooms, forced to use mobile hotspot.",2026-07-08 10:59:07,Hostel,feedback form,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-08 11:40:42,Academics,feedback form,4
online fee receipt generation is instant and hassle-free,2026-07-08 12:32:25,Fees,email,4
acoustics in the main auditorium were distorted during the musical evening,2026-07-08 12:46:15,Events,survey,3
professors are approachable during designated office consultation hours,2026-07-08 12:51:36,Academics,survey,5
badminton court wooden flooring has been maintained in top shape,2026-07-08 12:51:49,Sports,survey,5
